Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Wind Speed,Relative Humidity
2024,1,1,0,30,3.3000000000000003,0,0,0,1.7000000000000002,80.26
2024,1,1,1,30,3.2,0,0,0,1.7000000000000002,79.05
2024,1,1,2,30,3.2,0,0,0,1.5,78.23
2024,1,1,3,30,3.2,0,0,0,1.5,79.33
2024,1,1,4,30,3,0,0,0,1.6,82.58
2024,1,1,5,30,2.6,0,0,0,1.7000000000000002,87.57000000000001
2024,1,1,6,30,2.5,0,0,0,1.7000000000000002,90.02
2024,1,1,7,30,2.5,0,0,0,1.7000000000000002,90.64
2024,1,1,8,30,2.5,0,0,0,1.6,90.69
2024,1,1,9,30,2.6,0,0,0,1.4000000000000001,89.89
2024,1,1,10,30,2.5,0,0,0,1.3,90
2024,1,1,11,30,2.3000000000000003,0,0,0,1.2000000000000002,90.78
2024,1,1,12,30,2.7,12,13,54,1.1,87.85000000000001
2024,1,1,13,30,3.9000000000000004,28,28,0,1.2000000000000002,85.68
2024,1,1,14,30,5.1000000000000005,148,156,27,1.3,80.78
2024,1,1,15,30,6,79,377,762,1.4000000000000001,75.73
2024,1,1,16,30,6.5,84,433,798,1.4000000000000001,72.3
2024,1,1,17,30,6.800000000000001,174,348,397,1.4000000000000001,70.55
2024,1,1,18,30,6.9,189,199,25,1.3,69.93
2024,1,1,19,30,6.6000000000000005,113,215,341,1.2000000000000002,71.95
2024,1,1,20,30,5.5,21,32,65,1.1,84.10000000000001
2024,1,1,21,30,4.2,9,10,63,1.3,85.89
2024,1,1,22,30,3.5,0,0,0,1.5,86.62
2024,1,1,23,30,3,0,0,0,1.9000000000000001,88.54
2024,1,2,0,30,2.4000000000000004,0,0,0,2.2,90.74
2024,1,2,1,30,1.6,0,0,0,2.5,93.41
2024,1,2,2,30,0.7000000000000001,0,0,0,2.8000000000000003,95.74000000000001
2024,1,2,3,30,-0.1,0,0,0,2.9000000000000004,96.28
2024,1,2,4,30,-0.7000000000000001,0,0,0,2.9000000000000004,95.5
2024,1,2,5,30,-1.2000000000000002,0,0,0,2.9000000000000004,94.39
2024,1,2,6,30,-1.5,0,0,0,2.8000000000000003,93.47
2024,1,2,7,30,-1.7000000000000002,0,0,0,2.8000000000000003,92.76
2024,1,2,8,30,-1.8,0,0,0,2.8000000000000003,91.57000000000001
2024,1,2,9,30,-2,0,0,0,2.7,91.83
2024,1,2,10,30,-2.2,0,0,0,2.7,92.03
2024,1,2,11,30,-2.2,0,0,0,2.7,90.75
2024,1,2,12,30,-1.4000000000000001,12,16,174,2.8000000000000003,85.06
2024,1,2,13,30,0,39,152,652,2.9000000000000004,77.68
