Month,Day,Hour,Temperature,DHI,GHI,DNI,Wind Speed,Relative Humidity,Power
1,1,9,2.6,0,0,0,1.4,89.89,0.0
1,1,10,2.5,0,0,0,1.3,90.0,0.0
1,1,11,2.3000000000000003,0,0,0,1.2000000000000002,90.78,0.0
1,1,12,2.7,12,13,54,1.1,87.85000000000001,4.569851000000002
1,1,13,3.9,28,28,0,1.2000000000000002,85.68,9.775472
1,1,14,5.1000000000000005,148,156,27,1.3,80.78,53.29521600000001
1,1,15,6.0,79,377,762,1.4,75.73,124.55891500000001
1,1,16,6.5,84,433,798,1.4,72.3,141.65811500000004
1,1,17,6.800000000000001,174,348,397,1.4,70.55,115.03070400000003
1,1,18,6.9,189,199,25,1.3,69.93,67.08469100000002
1,1,19,6.6000000000000005,113,215,341,1.2000000000000002,71.95,72.416515
1,1,20,5.5,21,32,65,1.1,84.10000000000001,11.092480000000002
1,1,21,4.2,9,10,63,1.3,85.89,3.495020000000001
1,1,22,3.5,0,0,0,1.5,86.62,0.0
1,1,23,3.0,0,0,0,1.9,88.54,0.0
1,2,9,-2.0,0,0,0,2.7,91.83,0.0
1,2,10,-2.2,0,0,0,2.7,92.03,0.0
1,2,11,-2.2,0,0,0,2.7,90.75,0.0
1,2,12,-1.4,12,16,174,2.8000000000000003,85.06,5.716736000000001
1,2,13,0.0,39,152,652,2.9000000000000004,77.68,53.072320000000005
1,2,14,1.2000000000000002,51,294,807,2.7,70.75,100.26634800000001
1,2,15,2.4000000000000004,56,401,880,2.4000000000000004,66.0,134.13409900000002
1,2,16,3.5,58,455,904,2.3000000000000003,62.16,150.370675
1,2,17,4.3,58,454,903,2.2,60.42,149.53761200000005
1,2,18,4.7,55,396,871,2.1,61.23,131.23915200000002
1,2,19,4.4,48,287,794,1.9,66.6,96.64696300000003
1,2,20,2.9000000000000004,37,147,635,1.8,83.03,50.745723000000005
1,2,21,1.5,12,16,174,1.9,81.94,5.649920000000001
1,2,22,1.1,0,0,0,1.8,80.63,0.0
1,2,23,0.8,0,0,0,1.8,82.09,0.0
1,3,9,-0.5,0,0,0,2.2,94.95,0.0
1,3,10,-0.4,0,0,0,2.2,94.09,0.0
1,3,11,-0.4,0,0,0,2.2,93.68,0.0
1,3,12,0.2,6,8,79,2.3000000000000003,89.5,2.842816000000001
1,3,13,1.7000000000000002,40,146,614,2.2,82.25,50.659372000000005
1,3,14,3.4000000000000004,55,288,775,2.0,73.24,97.38547200000002
1,3,15,4.5,61,395,851,1.8,66.52,131.03927500000003
1,3,16,5.1000000000000005,65,449,873,1.6,64.61,147.47449900000004
1,3,17,5.5,183,350,380,1.5,64.18,116.31550000000001
1,3,18,5.5,206,223,44,1.5,65.12,75.38403500000001
1,3,19,4.9,114,115,3,1.4,70.23,39.533435000000004
1,3,20,3.5,40,40,0,1.5,84.65,13.966400000000002
1,3,21,2.5,9,10,56,1.6,83.75,3.5195000000000007
1,3,22,2.2,0,0,0,1.7000000000000002,83.03,0.0
1,3,23,2.1,0,0,0,1.7000000000000002,84.09,0.0
1,4,9,1.4,0,0,0,1.3,86.78,0.0
1,4,10,1.2000000000000002,0,0,0,1.4,88.92,0.0
1,4,11,1.2000000000000002,0,0,0,1.4,89.13,0.0
1,4,12,1.7000000000000002,10,10,1,1.5,86.67,3.5310200000000007
1,4,13,3.0,17,17,0,1.8,83.34,5.965555000000001
1,4,14,4.2,111,122,38,2.3000000000000003,78.37,42.024364000000006
1,4,15,5.2,160,163,8,2.9000000000000004,72.36,55.61185100000001
1,4,16,5.5,172,175,7,3.3000000000000003,70.62,59.53587500000001
1,4,17,5.5,165,366,455,3.8,71.46000000000001,121.36926000000003
1,4,18,5.1000000000000005,131,365,592,4.3,73.29,121.26431500000004
1,4,19,4.1000000000000005,124,230,346,4.800000000000001,74.47,78.14158000000002
1,4,20,2.7,40,158,663,4.9,74.51,54.51031600000001
1,4,21,1.3,14,19,206,4.7,75.83,6.712187000000001
1,4,22,0.3,0,0,0,4.7,77.02,0.0
1,4,23,-0.6000000000000001,0,0,0,4.6000000000000005,77.76,0.0
1,5,9,-2.9000000000000004,0,0,0,3.1,79.35000000000001,0.0
1,5,10,-2.9000000000000004,0,0,0,2.9000000000000004,79.69,0.0
1,5,11,-2.9000000000000004,0,0,0,2.7,79.88,0.0
1,5,12,-2.2,13,17,191,2.8000000000000003,76.59,6.092851000000001
1,5,13,-1.1,38,155,673,2.9000000000000004,69.71000000000001,54.34439500000001
1,5,14,-0.1,51,302,828,2.8000000000000003,63.68,103.45130800000003
1,5,15,0.8,57,412,899,2.6,60.27,138.55889600000003
1,5,16,1.5,59,467,921,2.5,58.56,155.42927500000002
1,5,17,2.1,60,469,922,2.4000000000000004,57.6,155.64749900000004
1,5,18,2.3000000000000003,57,409,885,2.4000000000000004,58.52,136.72174700000002
1,5,19,2.1,52,302,814,2.2,61.68,102.49457200000002
1,5,20,0.8,41,144,574,2.0,75.67,50.16499200000001
1,5,21,-0.5,14,19,191,2.1,80.44,6.761435000000001
1,5,22,-0.7000000000000001,0,0,0,2.1,79.67,0.0
1,5,23,-0.7000000000000001,0,0,0,2.2,79.99,0.0
1,6,9,-1.1,0,0,0,1.1,83.44,0.0
1,6,10,-1.0,0,0,0,0.7000000000000001,80.88,0.0
1,6,11,-0.8,0,0,0,0.6000000000000001,79.31,0.0
1,6,12,-0.5,6,6,0,0.8,78.57000000000001,2.1387
1,6,13,0.2,39,39,1,1.1,77.78,13.804323000000002
1,6,14,0.9,82,84,5,1.6,77.71000000000001,29.477616000000005
1,6,15,1.5,89,90,2,2.1,76.7,31.481100000000005
1,6,16,2.1,84,85,2,2.6,75.47,29.67783500000001
1,6,17,2.4000000000000004,103,105,4,2.9000000000000004,76.23,36.520995000000006
1,6,18,2.4000000000000004,58,58,1,3.1,80.07000000000001,20.296172000000002
1,6,19,2.3000000000000003,20,20,0,3.3000000000000003,84.68,7.035760000000002
1,6,20,2.2,19,19,0,3.9,88.24,6.687563000000001
1,6,21,2.1,2,2,0,4.6000000000000005,90.63,0.7057720000000002
1,6,22,2.1,0,0,0,5.300000000000001,92.24,0.0
1,6,23,2.3000000000000003,0,0,0,5.9,93.35,0.0
1,7,9,2.1,0,0,0,4.5,96.24,0.0
1,7,10,2.2,0,0,0,4.1000000000000005,95.75,0.0
1,7,11,2.2,0,0,0,3.6,96.03,0.0
